recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
384,Eupterote bifasciata,,633322,Bombycoidea,Eupterotidae,Eupterotinae,,,Eupterote
385,Eublemma roseana,,475445,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,Eublemma
386,Episothalma robustaria,,787794,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Episothalma
387,Epiplema fulvilinea,,416414,Geometroidea,Uraniidae,Epipleminae,,,Epiplema
388,Entomogramma fautrix,,203053,Noctuoidea,Erebidae,Erebinae,Catocalini,,Entomogramma
389,Elophila difflualis,,416517,Pyraloidea,Crambidae,Acentropinae,,,Elophila
390,Dysphania palmyra,,203834,Geometroidea,Geometridae,Geometrinae,Dysphaniini,,Dysphania
391,Dysallacta negatalis,,539055,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Dysallacta
392,Dysaethria quadricaudata,,461177,Geometroidea,Uraniidae,Epipleminae,,,Dysaethria
393,Dolbina manjunatha,,1126053,Bombycoidea,Sphingidae,Sphinginae,Sphingulini,,Dolbina
394,Diomea lignicolora,,906092,Noctuoidea,Erebidae,Boletobiinae,Boletobiini,,Diomea
395,Dichromia pullata,,708073,Noctuoidea,Erebidae,Hypeninae,,,Dichromia
396,Dichromia laesalis,,857051,Noctuoidea,Erebidae,Hypeninae,,,Dichromia
397,Cyana linatula,,1038765,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Cyana
398,Cyana bhatejai,,956102,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Cyana
399,Ctenoplusia albostriata,Eastern Streaked Plusia,202787,Noctuoidea,Noctuidae,Plusiinae,Argyrogrammatini,,Ctenoplusia
400,Creatonotos gangis,Baphomet Moth,199441,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Creatonotos
401,Corymica deducta,,362054,Geometroidea,Geometridae,Ennominae,Hypochrosini,,Corymica
402,Comibaena cassidara,,201671,Geometroidea,Geometridae,Geometrinae,Comibaenini,,Comibaena
403,Cnaphalocrocis patnalis,,325753,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Cnaphalocrocis
404,Cirrhochrista fumipalpis,,244055,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Cirrhochrista
405,Cirrhochrista brizoalis,,334906,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Cirrhochrista
406,Chrysocraspeda abhadraca,,203971,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,,Chrysocraspeda
407,Chlorozancla falcatus,,855347,Geometroidea,Geometridae,Geometrinae,,,Chlorozancla
408,Chiasmia perfusaria,,447175,Geometroidea,Geometridae,Ennominae,Macariini,,Chiasmia
409,Cephonodes hylas,Pellucid Hawkmoth,121833,Bombycoidea,Sphingidae,Macroglossinae,Dilophonotini,Hemarina,Cephonodes
410,Casama vilis,,912469,Noctuoidea,Erebidae,Lymantriinae,,,Casama
411,Calonola ectrocta,,1137823,Noctuoidea,Nolidae,Nolinae,Nolini,,Calonola
412,Callopistria rivularis,,503139,Noctuoidea,Noctuidae,Eriopinae,,,Callopistria
413,Callopistria minor,,1116385,Noctuoidea,Noctuidae,Eriopinae,,,Callopistria
414,Britha biguttata,,545351,Noctuoidea,Erebidae,Hypeninae,,,Britha
415,Botyodes asialis,,203828,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Botyodes
416,Bacotoma violata,,902107,Pyraloidea,Crambidae,Spilomelinae,,,Bacotoma
