recordNumber ,scientificName,commonName,taxonID,superFamily,family,subFamily,tribe,subTribe,genus
289,Lamprosema tampiusalis,,318437,Pyraloidea,Crambidae,Spilomelinae,Hydririni,,Lamprosema
290,Hypomecis separata,,474103,Geometroidea,Geometridae,Ennominae,Boarmiini,,Hypomecis
291,Hypolamprus ypsilon,,490027,Thyridoidea,Thyrididae,Siculodinae,,,Hypolamprus
292,Hypochrosis hyadaria,,424770,Geometroidea,Geometridae,Ennominae,Hypochrosini,,Hypochrosis
293,Herpetogramma rudis,,539064,Pyraloidea,Crambidae,Spilomelinae,Herpetogrammatini,,Herpetogramma
294,Glycythyma chrysorycta,,209508,Pyraloidea,Crambidae,Spilomelinae,,,Glycythyma
295,Eublemma olivacea,,510227,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,Eublemma
296,Eublemma brachygonia,,1260352,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,Eublemma
297,Eublemma abrupta,,522317,Noctuoidea,Erebidae,Boletobiinae,Eublemmini,,Eublemma
298,Ericeia inangulata,Sober Tabby,243788,Noctuoidea,Erebidae,Erebinae,Hulodini,,Ericeia
299,Dysphania nelera,,776933,Geometroidea,Geometridae,Geometrinae,Dysphaniini,,Dysphania
300,Dichocrocis rigidalis,,205291,Pyraloidea,Crambidae,Spilomelinae,,,Dichocrocis
301,Diacrotricha fasciola,Starfruit Plume Moth,211098,Pterophoroidea,Pterophoridae,Pterophorinae,Pterophorini,,Diacrotricha
302,Cyclosiella dulcicula,,450460,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Eugoa group,Cyclosiella
303,Cyana guttifera,,627660,Noctuoidea,Erebidae,Arctiinae,Lithosiini,Nudariina,Cyana
304,Cusiala raptaria,,887250,Geometroidea,Geometridae,Ennominae,,,Cusiala
305,Cusiala boarmoides,,627668,Geometroidea,Geometridae,Ennominae,,,Cusiala
306,Comostola pyrrhogona,,208072,Geometroidea,Geometridae,Geometrinae,Hemitheini,,Comostola
307,Cnaphalocrocis trebiusalis,,974128,Pyraloidea,Crambidae,Spilomelinae,Spilomelini,,Cnaphalocrocis
308,Cleora alienaria,,201660,Geometroidea,Geometridae,Ennominae,Boarmiini,,Cleora
309,Chrysodeixis eriosoma,Green Garden Looper,55649,Noctuoidea,Noctuidae,Plusiinae,Argyrogrammatini,,Chrysodeixis
310,Chrysocraspeda faganaria,,479989,Geometroidea,Geometridae,Sterrhinae,Cosymbiini,,Chrysocraspeda
311,Chorsia albiscripta,,204671,Noctuoidea,Noctuidae,Eustrotiinae,,,Chorsia
312,Chiasmia pluviata,,714778,Geometroidea,Geometridae,Ennominae,Macariini,,Chiasmia
313,Chiasmia normata,,657009,Geometroidea,Geometridae,Ennominae,Macariini,,Chiasmia
314,Callidrepana patrana,,124527,Drepanoidea,Drepanidae,Drepaninae,Drepanini,,Callidrepana
315,Bastilla amygdalis,,199269,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Bastilla
316,Aroa plana,,1090472,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Aroa
317,Antheua servula,,319043,Noctuoidea,Notodontidae,Phalerinae,,,Antheua
318,Amata bicincta,,322907,Noctuoidea,Erebidae,Arctiinae,Syntomini,,Amata
319,Agathia lycaenaria,,124246,Geometroidea,Geometridae,Geometrinae,Agathiini,,Agathia
320,Acosmeryx anceus,,541415,Bombycoidea,Sphingidae,Macroglossinae,Macroglossini,Macroglossina,Acosmeryx
321,Achaea serva,,244053,Noctuoidea,Erebidae,Erebinae,Poaphilini,,Achaea
322,Abraxas poliaria,,1078363,Geometroidea,Geometridae,Ennominae,Abraxini,,Abraxas
323,Yepcalphis dilectissima,,121914,Noctuoidea,Noctuidae,Noctuinae,,,Yepcalphis
324,Xyleutes strix,,338290,Cossoidea,Cossidae,Zeuzerinae,,,Xyleutes
325,Xyleutes persona,,201824,Cossoidea,Cossidae,Zeuzerinae,,,Xyleutes
326,Ulopeza idyalis,,1010152,Pyraloidea,Crambidae,Spilomelinae,Agroterini,,Ulopeza
327,Tyspanodes linealis,,211014,Pyraloidea,Crambidae,Spilomelinae,Margaroniini,,Tyspanodes
328,Trypanophora semihyalina,,202778,Zygaenoidea,Zygaenidae,Chalcosiinae,,,Trypanophora
329,Trigonodes disjuncta,,560851,Noctuoidea,Erebidae,Erebinae,Euclidiini,,Trigonodes
330,Tiracola plagiata,Cacao Armyworm,244135,Noctuoidea,Noctuidae,Noctuinae,Leucaniini,,Tiracola
331,Tinolius eburneigutta,,338238,Noctuoidea,Erebidae,Tinoliinae,,,Tinolius
332,Timandra ruptilinea,,326858,Geometroidea,Geometridae,Sterrhinae,Timandrini,,Timandra
333,Thalathoides curtalis,,861221,Noctuoidea,Noctuidae,Acronictinae,,,Thalathoides
334,Stauropus alternus,Lobster Caterpillar Moth,202022,Noctuoidea,Notodontidae,Notodontinae,Stauropini,,Stauropus
335,Spilosoma obliqua,Jute Hairy Caterpillar Moth,326321,Noctuoidea,Erebidae,Arctiinae,Arctiini,Spilosomina,Spilosoma
336,Speiredonia obscura,,347259,Noctuoidea,Erebidae,Erebinae,Hulodini,,Speiredonia
337,Somena scintillans,,701723,Noctuoidea,Erebidae,Lymantriinae,Nygmiini,,Somena
338,Somatina purpurascens,,418602,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Somatina
339,Somatina omicraria,,910927,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Somatina
340,Simplicia cornicalis,,243955,Noctuoidea,Erebidae,Herminiinae,,,Simplicia
341,Simplicia bimarginata,,428730,Noctuoidea,Erebidae,Herminiinae,,,Simplicia
342,Scopula butleri,,702197,Geometroidea,Geometridae,Sterrhinae,Scopulini,,Scopula
343,Rivula cognata,,840712,Noctuoidea,Erebidae,Rivulinae,,,Rivula
344,Rehimena phrynealis,,318895,Pyraloidea,Crambidae,Spilomelinae,,,Rehimena
345,Pycnarmon cribrata,,203104,Pyraloidea,Crambidae,Spilomelinae,,,Pycnarmon
346,Pycnarmon alboflavalis,,625956,Pyraloidea,Crambidae,Spilomelinae,,,Pycnarmon
347,Ptychopseustis plumbeolinealis,,337838,Pyraloidea,Crambidae,Cybalomiinae,,,Ptychopseustis
348,Ptisciana seminivea,,489091,Noctuoidea,Nolidae,,,,Ptisciana
